generation,N_shifts,eventRate
1510001,1,0.927857
1520001,0,0.41064
1530001,2,1.75004
1540001,0,0.257582
1550001,2,0.539499
1560001,0,0.316821
1570001,1,1.71151
1580001,1,0.537284
1590001,0,0.0686816
1600001,0,0.0407559
1610001,0,0.0252755
1620001,0,1.20949
1630001,1,1.60583
1640001,0,1.47567
1650001,1,0.990949
1660001,2,3.13074
1670001,0,0.171646
1680001,0,0.755963
1690001,2,1.60422
1700001,1,1.9179
1710001,0,0.0862837
1720001,1,0.499376
1730001,0,0.262283
1740001,1,0.180979
1750001,3,0.133887
1760001,1,0.125937
1770001,0,0.236142
1780001,1,0.968648
1790001,0,0.884127
1800001,0,0.448194
1810001,1,0.946292
1820001,0,1.87084
1830001,0,0.292536
1840001,0,0.354797
1850001,2,1.24417
1860001,1,0.306679
1870001,2,2.6266
1880001,0,0.478852
1890001,1,1.93987
1900001,0,0.295816
1910001,0,0.417267
1920001,1,0.320832
1930001,1,1.99475
1940001,0,1.28524
1950001,1,0.753646
1960001,1,1.94669
1970001,2,1.65778
1980001,2,0.742364
1990001,0,0.902251
2000001,1,3.74182
2010001,0,0.824259
2020001,1,0.539503
2030001,0,0.0340106
2040001,1,1.99763
2050001,0,0.00357608
2060001,2,1.79222
2070001,4,0.750101
2080001,1,0.793667
2090001,1,0.398146
2100001,0,1.07021
2110001,0,1.03025
2120001,3,2.58404
2130001,0,0.190319
2140001,2,3.74952
2150001,1,0.276285
2160001,0,1.00567
2170001,2,1.37812
2180001,1,2.40535
2190001,1,1.04083
2200001,4,1.15331
2210001,1,1.32038
2220001,1,0.837398
2230001,0,0.26069
2240001,0,0.370559
2250001,1,0.129615
2260001,1,1.39281
2270001,0,0.0518087
2280001,0,0.00022418
2290001,1,2.51752
2300001,0,1.08033
2310001,1,1.55043
2320001,1,0.885257
2330001,1,0.891259
2340001,2,1.54733
2350001,1,0.159078
2360001,0,0.258446
2370001,0,0.199504
2380001,1,0.585629
2390001,3,1.1943
2400001,1,0.292698
2410001,1,0.83757
2420001,0,0.252204
2430001,1,0.419091
2440001,0,0.155079
2450001,3,1.82124
2460001,0,0.113699
2470001,0,0.259572
2480001,0,0.0933284
2490001,1,1.83367
2500001,0,1.02431
2510001,2,1.03932
2520001,2,1.25863
2530001,0,0.109526
2540001,1,0.568972
2550001,2,1.82326
2560001,1,1.30147
2570001,0,0.123058
